showing info https://raw.githubusercontent.com/nltk/nltk_data/gh-pages/index.xml
| Word                     |   Count |
| saben                    |       2 |
| sabran                   |       2 |
| sabras                   |       2 |
| sabria                   |       2 |
| sad                      |       2 |
| salvaje                  |       2 |
| saly                     |       2 |
| secara                   |       2 |
| secretos                 |       2 |
| seis                     |       2 |
| senales                  |       2 |
| senor                    |       2 |
| sensacionde              |       2 |
| sensaciony               |       2 |
| sepan                    |       2 |
| serena                   |       2 |
| sienta                   |       2 |
| sientate                 |       2 |
| siga                     |       2 |
| silenciocorrer           |       2 |
| sino                     |       2 |
| so                       |       2 |
| sociedad                 |       2 |
| solcasas                 |       2 |
| soldespacio              |       2 |
| soledadpudiera           |       2 |
| solen                    |       2 |
| solitosno                |       2 |
| solla                    |       2 |
| solmuchacha              |       2 |
| solviene                 |       2 |
| sonarfuera               |       2 |
| sonary                   |       2 |
| soportar                 |       2 |
| suena                    |       2 |
| suertedonde              |       2 |
| sun                      |       2 |
| supo                     |       2 |
| sur                      |       2 |
| tallo                    |       2 |
| tantas                   |       2 |
| tendrasy                 |       2 |
| tenes                    |       2 |
| terraplenla              |       2 |
| terraza                  |       2 |
| that                     |       2 |
| think                    |       2 |
| tiempoes                 |       2 |
| tiemposiempre            |       2 |
| tierraven                |       2 |
| tiy                      |       2 |
| told                     |       2 |
| tonelsin                 |       2 |
| touch                    |       2 |
| transformado             |       2 |
| traspapelara             |       2 |
| trenyo                   |       2 |
| tristeza                 |       2 |
| truenonudo               |       2 |
| umbral                   |       2 |
| unafuera                 |       2 |
| unatodo                  |       2 |
| vaga                     |       2 |
| vagando                  |       2 |
| valija                   |       2 |
| valle                    |       2 |
| vasel                    |       2 |
| vasquedate               |       2 |
| venga                    |       2 |
| vengo                    |       2 |
| veotus                   |       2 |
| verasyo                  |       2 |
| vercomo                  |       2 |
| verdady                  |       2 |
| verdadya                 |       2 |
| veria                    |       2 |
| verlo                    |       2 |
| verme                    |       2 |
| vezy                     |       2 |
| viajando                 |       2 |
| vidavaya                 |       2 |
| viejo                    |       2 |
| vientomenos              |       2 |
| vientotan                |       2 |
| vientovaya               |       2 |
| vierte                   |       2 |
| vino                     |       2 |
| violencia                |       2 |
| vive                     |       2 |
| viviendo                 |       2 |
| vivo                     |       2 |
| volvera                  |       2 |
| volveran                 |       2 |
| volviendo                |       2 |
| vosy                     |       2 |
| vuelven                  |       2 |
| vuelves                  |       2 |
| wheels                   |       2 |
| with                     |       2 |
| yeh                      |       2 |
| zafarahora               |       2 |
| zona                     |       2 |
| zumbando                 |       2 |
| aaamor                   |       1 |
